symbol,cond1,cond2,cond3,cond4,cond5,cond6,cond7,met_count,rs_score,cond8,fin_met_count,has_error,rs_score_fin,rs_percentile,fin_percentile,total_percentile,total_met_count
LABU,True,True,True,True,True,True,True,8,95.81,True,6.0,False,95.81,79.7085201793722,70.37037037037037,150.07889054974257,14.0
SILJ,True,True,True,True,True,True,True,8,95.78,True,6.0,False,95.78,79.48430493273543,70.37037037037037,149.8546753031058,14.0
GDMN,True,True,True,True,True,True,True,8,95.45,True,6.0,False,95.45,77.13004484304933,70.37037037037037,147.5004152134197,14.0
MEXX,True,True,True,True,True,True,True,8,95.42,True,6.0,False,95.42,76.79372197309418,70.37037037037037,147.16409234346455,14.0
MGRM,True,True,True,True,True,True,True,8,95.3,True,6.0,False,95.3,76.23318385650224,70.37037037037037,146.6035542268726,14.0
SHNY,True,True,True,True,True,True,True,8,95.27,True,6.0,False,95.27,76.00896860986546,70.37037037037037,146.37933898023584,14.0
URAA,True,True,True,True,True,True,True,8,95.14,True,6.0,False,95.14,75.33632286995515,70.37037037037037,145.70669324032554,14.0
DFEN,True,True,True,True,True,True,True,8,95.04,True,6.0,False,95.04,74.77578475336323,70.37037037037037,145.1461551237336,14.0
GREEL,True,True,True,True,True,True,True,8,94.81,True,6.0,False,94.81,73.09417040358744,70.37037037037037,143.46454077395782,14.0
FARO,True,True,True,True,True,True,True,8,94.77,True,6.0,False,94.77,72.86995515695067,70.37037037037037,143.24032552732103,14.0
GOEX,True,True,True,True,True,True,True,8,94.73,True,6.0,False,94.73,72.6457399103139,70.37037037037037,143.01611028068427,14.0
ICAD,True,True,True,True,True,True,True,8,94.69,True,6.0,False,94.69,72.30941704035875,70.37037037037037,142.67978741072912,14.0
PLTM,True,True,True,True,True,True,True,8,94.6,True,6.0,False,94.6,71.63677130044843,70.37037037037037,142.00714167081878,14.0
TSMU,True,True,True,True,True,True,True,8,94.57,True,6.0,False,94.57,71.41255605381166,70.37037037037037,141.78292642418202,14.0
PPLT,True,True,True,True,True,True,True,8,94.56,True,6.0,False,94.56,71.30044843049326,70.37037037037037,141.67081880086363,14.0
HIBL,True,True,True,True,True,True,True,8,94.38,True,6.0,False,94.38,70.17937219730942,70.37037037037037,140.5497425676798,14.0
GDXJ,True,True,True,True,True,True,True,8,94.22,True,6.0,False,94.22,69.05829596412556,70.37037037037037,139.42866633449592,14.0
ION,True,True,True,True,True,True,True,8,94.02,True,6.0,False,94.02,67.48878923766816,70.37037037037037,137.8591596080385,14.0
RING,True,True,True,True,True,True,True,8,93.95,True,6.0,False,93.95,67.04035874439462,70.37037037037037,137.410729114765,14.0
AEIS,True,True,True,True,True,True,True,8,93.91,True,6.0,False,93.91,66.81614349775785,70.37037037037037,137.1865138681282,14.0
SGDJ,True,True,True,True,True,True,True,8,93.87,True,6.0,False,93.87,66.4798206278027,70.37037037037037,136.85019099817305,14.0
CFSB,True,True,True,True,True,True,True,8,93.86,True,6.0,False,93.86,66.3677130044843,70.37037037037037,136.73808337485468,14.0
GDX,True,True,True,True,True,True,True,8,93.82,True,6.0,False,93.82,66.14349775784754,70.37037037037037,136.5138681282179,14.0
THTX,True,True,True,True,True,True,True,8,93.79,True,6.0,False,93.79,65.91928251121077,70.37037037037037,136.28965288158113,14.0
SPXU,True,True,True,True,True,True,True,8,93.78,True,6.0,False,93.78,65.80717488789237,70.37037037037037,136.17754525826274,14.0
SGDM,True,True,True,True,True,True,True,8,93.68,True,6.0,False,93.68,65.13452914798206,70.37037037037037,135.50489951835243,14.0
LIMI,True,True,True,True,True,True,True,8,93.58,True,6.0,False,93.58,64.34977578475336,70.37037037037037,134.72014615512373,14.0
EB,True,True,True,True,True,True,True,8,93.48,True,6.0,False,93.48,63.22869955156951,70.37037037037037,133.59906992193987,14.0
COPJ,True,True,True,True,True,True,True,8,93.46,True,6.0,False,93.46,63.00448430493274,70.37037037037037,133.3748546753031,14.0
ILIT,True,True,True,True,True,True,True,8,93.44,True,6.0,False,93.44,62.89237668161435,70.37037037037037,133.26274705198472,14.0
BOTT,True,True,True,True,True,True,True,8,93.42,True,6.0,False,93.42,62.78026905829597,70.37037037037037,133.15063942866635,14.0
BBC,True,True,True,True,True,True,True,8,93.29,True,6.0,False,93.29,61.77130044843049,70.37037037037037,132.14167081880086,14.0
VERV,True,True,True,True,True,True,True,8,93.17,True,6.0,False,93.17,60.98654708520179,70.37037037037037,131.35691745557216,14.0
COOP,True,True,True,True,True,True,True,8,93.14,True,6.0,False,93.14,60.76233183856502,70.37037037037037,131.13270220893537,14.0
BULZ,True,True,True,True,True,True,True,8,93.11,True,6.0,False,93.11,60.53811659192825,70.37037037037037,130.9084869622986,14.0
DMAT,True,True,True,True,True,True,True,8,93.01,True,6.0,False,93.01,59.64125560538116,70.37037037037037,130.01162597575154,14.0
REMX,True,True,True,True,True,True,True,8,92.97,True,6.0,False,92.97,59.19282511210763,70.37037037037037,129.563195482478,14.0
DGP,True,True,True,True,True,True,True,8,92.89,True,6.0,False,92.89,58.744394618834086,70.37037037037037,129.11476498920445,14.0
CKPT,True,True,True,True,True,True,True,8,92.83,True,6.0,False,92.83,58.40807174887892,70.37037037037037,128.7784421192493,14.0
AUMI,True,True,True,True,True,True,True,8,92.78,True,6.0,False,92.78,58.07174887892377,70.37037037037037,128.44211924929414,14.0
RILYT,True,True,True,True,True,True,True,8,92.68,True,6.0,False,92.68,57.51121076233184,70.37037037037037,127.8815811327022,14.0
GOAU,True,True,True,True,True,True,True,8,92.64,True,6.0,False,92.64,57.28699551569507,70.37037037037037,127.65736588606543,14.0
COPA,True,True,True,True,True,True,True,8,92.51,True,6.0,False,92.51,56.39013452914799,70.37037037037037,126.76050489951837,14.0
MDB,True,True,True,True,True,True,True,8,92.46,True,6.0,False,92.46,56.16591928251121,70.37037037037037,126.53628965288158,14.0
EPU,True,True,True,True,True,True,True,8,92.4,True,6.0,False,92.4,55.82959641255605,70.37037037037037,126.19996678292642,14.0
XME,True,True,True,True,True,True,True,8,92.35,True,6.0,False,92.35,55.38116591928252,70.37037037037037,125.75153628965288,14.0
GMET,True,True,True,True,True,True,True,8,92.25,True,6.0,False,92.25,54.7085201793722,70.37037037037037,125.07889054974255,14.0
UFO,True,True,True,True,True,True,True,8,92.24,True,6.0,False,92.24,54.59641255605381,70.37037037037037,124.96678292642416,14.0
COPP,True,True,True,True,True,True,True,8,92.19,True,6.0,False,92.19,54.147982062780265,70.37037037037037,124.51835243315062,14.0
EDC,True,True,True,True,True,True,True,8,92.14,True,6.0,False,92.14,53.81165919282511,70.37037037037037,124.18202956319548,14.0
EMX,True,True,True,True,True,True,True,8,92.08,True,6.0,False,92.08,53.25112107623319,70.37037037037037,123.62149144660356,14.0
GLTR,True,True,True,True,True,True,True,8,92.01,True,6.0,False,92.01,52.80269058295964,70.37037037037037,123.17306095333,14.0
KRYS,True,True,True,True,True,True,True,8,91.83,True,6.0,False,91.83,51.34529147982063,70.37037037037037,121.715661850191,14.0
CLBR,True,True,True,True,True,True,True,8,91.8,True,6.0,False,91.8,51.12107623318386,70.37037037037037,121.49144660355422,14.0
CERS,True,True,True,True,True,True,True,8,91.61,True,6.0,False,91.61,49.55156950672646,70.37037037037037,119.92193987709685,14.0
EWY,True,True,True,True,True,True,True,8,91.49,True,6.0,False,91.49,48.87892376681614,70.37037037037037,119.24929413718652,14.0
JETU,True,True,True,True,True,True,True,8,91.41,True,6.0,False,91.41,48.318385650224215,70.37037037037037,118.68875602059458,14.0
SAND,True,True,True,True,True,True,True,8,91.25,True,6.0,False,91.25,47.309417040358746,70.37037037037037,117.67978741072912,14.0
RILYN,True,True,True,True,True,True,True,8,91.11,True,6.0,False,91.11,46.30044843049328,70.37037037037037,116.67081880086364,14.0
GNFT,True,True,True,True,True,True,True,8,91.08,True,6.0,False,91.08,46.0762331838565,70.37037037037037,116.44660355422688,14.0
URTY,True,True,True,True,True,True,True,8,91.03,True,6.0,False,91.03,45.62780269058296,70.37037037037037,115.99817306095332,14.0
UBR,True,True,True,True,True,True,True,8,91.02,True,6.0,False,91.02,45.51569506726457,70.37037037037037,115.88606543763494,14.0
NIKL,True,True,True,True,True,True,True,8,90.89,True,6.0,False,90.89,44.61883408071749,70.37037037037037,114.98920445108786,14.0
URNM,True,True,True,True,True,True,True,8,90.84,True,6.0,False,90.84,44.39461883408072,70.37037037037037,114.76498920445108,14.0
RILYG,True,True,True,True,True,True,True,8,90.8,True,6.0,False,90.8,43.946188340807176,70.37037037037037,114.31655871117756,14.0
RDUS,True,True,True,True,True,True,True,8,90.79,True,6.0,False,90.79,43.83408071748879,70.37037037037037,114.20445108785916,14.0
FLKR,True,True,True,True,True,True,True,8,90.76,True,6.0,False,90.76,43.49775784753363,70.37037037037037,113.868128217904,14.0
ZSB,True,True,True,True,True,True,True,8,90.74,True,6.0,False,90.74,43.27354260089686,70.37037037037037,113.64391297126724,14.0
FTXL,True,True,True,True,True,True,True,8,90.64,True,6.0,False,90.64,42.488789237668165,70.37037037037037,112.85915960803854,14.0
ROKT,True,True,True,True,True,True,True,8,90.63,True,6.0,False,90.63,42.37668161434978,70.37037037037037,112.74705198472014,14.0
CHPS,True,True,True,True,True,True,True,8,90.6,True,6.0,False,90.6,42.04035874439462,70.37037037037037,112.410729114765,14.0
BRZU,True,True,True,True,True,True,True,8,90.59,True,6.0,False,90.59,41.92825112107623,70.37037037037037,112.2986214914466,14.0
URA,True,True,True,True,True,True,True,8,90.53,True,6.0,False,90.53,41.47982062780269,70.37037037037037,111.85019099817303,14.0
MG,True,True,True,True,True,True,True,8,90.46,True,6.0,False,90.46,41.143497757847534,70.37037037037037,111.5138681282179,14.0
LIT,True,True,True,True,True,True,True,8,90.42,True,6.0,False,90.42,40.91928251121077,70.37037037037037,111.28965288158112,14.0
URNJ,True,True,True,True,True,True,True,8,90.4,True,6.0,False,90.4,40.69506726457399,70.37037037037037,111.06543763494436,14.0
PALL,True,True,True,True,True,True,True,8,90.23,True,6.0,False,90.23,39.68609865470852,70.37037037037037,110.05646902507888,14.0
RENT,True,True,True,True,True,True,True,8,90.13,True,6.0,False,90.13,39.1255605381166,70.37037037037037,109.49593090848695,14.0
SBIO,True,True,True,True,True,True,True,8,90.11,True,6.0,False,90.11,39.01345291479821,70.37037037037037,109.38382328516856,14.0
PSI,True,True,True,True,True,True,True,8,90.09,True,6.0,False,90.09,38.78923766816144,70.37037037037037,109.1596080385318,14.0
HEES,True,True,True,True,True,True,True,8,90.05,True,6.0,False,90.05,38.34080717488789,70.37037037037037,108.71117754525828,14.0
BIB,True,True,True,True,True,True,True,8,90.0,True,6.0,False,90.0,37.89237668161435,70.37037037037037,108.26274705198472,14.0
OPOF,True,True,True,True,True,True,True,8,89.95,True,6.0,False,89.95,37.55605381165919,70.37037037037037,107.92642418202956,14.0
FOSLL,True,True,True,True,True,True,True,8,89.8,True,6.0,False,89.8,36.210762331838566,70.37037037037037,106.58113270220892,14.0
HYDR,True,True,True,True,True,True,True,8,89.64,True,6.0,False,89.64,34.75336322869956,70.37037037037037,105.12373359906992,14.0
MRNA,True,True,True,True,True,True,True,8,89.55,True,6.0,False,89.55,33.96860986547085,70.37037037037037,104.33898023584122,14.0
AIS,True,True,True,True,True,True,True,8,89.42,True,6.0,False,89.42,32.95964125560538,70.37037037037037,103.33001162597574,14.0
VLRS,True,True,True,True,True,True,True,8,89.32,True,6.0,False,89.32,32.28699551569507,70.37037037037037,102.65736588606543,14.0
ECH,True,True,True,True,True,True,True,8,89.07,True,6.0,False,89.07,30.15695067264574,70.37037037037037,100.5273210430161,14.0
BATT,True,True,True,True,True,True,True,8,89.01,True,6.0,False,89.01,29.596412556053814,70.37037037037037,99.96678292642416,14.0
MKOR,True,True,True,True,True,True,True,8,88.86,True,6.0,False,88.86,28.699551569506728,70.37037037037037,99.06992193987708,14.0
EURL,True,True,True,True,True,True,True,8,88.75,True,6.0,False,88.75,28.251121076233183,70.37037037037037,98.62149144660356,14.0
SMH,True,True,True,True,True,True,True,8,88.69,True,6.0,False,88.69,27.802690582959645,70.37037037037037,98.17306095333,14.0
OLO,True,True,True,True,True,True,True,8,88.67,True,6.0,False,88.67,27.690582959641254,70.37037037037037,98.06095333001164,14.0
KNOP,True,True,True,True,True,True,True,8,88.65,True,6.0,False,88.65,27.57847533632287,70.37037037037037,97.94884570669323,14.0
SHOC,True,True,True,True,True,True,True,8,88.61,True,6.0,False,88.61,27.466367713004487,70.37037037037037,97.83673808337484,14.0
SOXQ,True,True,True,True,True,True,True,8,88.59,True,6.0,False,88.59,27.3542600896861,70.37037037037037,97.72463046005646,14.0
ARKQ,True,True,True,True,True,True,True,8,88.48,True,6.0,False,88.48,26.5695067264574,70.37037037037037,96.93987709682776,14.0
CNXT,True,True,True,True,True,True,True,8,88.38,True,6.0,False,88.38,25.89686098654709,70.37037037037037,96.26723135691743,14.0
BDRY,True,True,True,True,True,True,True,8,88.36,True,6.0,False,88.36,25.672645739910315,70.37037037037037,96.04301611028067,14.0
EMEQ,True,True,True,True,True,True,True,8,88.22,True,6.0,False,88.22,24.66367713004484,70.37037037037037,95.0340475004152,14.0
GXG,True,True,True,True,True,True,True,8,88.21,True,6.0,False,88.21,24.55156950672645,70.37037037037037,94.92193987709682,14.0
SPRX,True,True,True,True,True,True,True,8,88.19,True,6.0,False,88.19,24.43946188340807,70.37037037037037,94.80983225377844,14.0
XAR,True,True,True,True,True,True,True,8,88.13,True,6.0,False,88.13,23.99103139013453,70.37037037037037,94.36140176050488,14.0
YXI,True,True,True,True,True,True,True,8,88.06,True,6.0,False,88.06,23.31838565022421,70.37037037037037,93.68875602059458,14.0
TEKX,True,True,True,True,True,True,True,8,88.05,True,6.0,False,88.05,23.20627802690583,70.37037037037037,93.5766483972762,14.0
VNAM,True,True,True,True,True,True,True,8,88.02,True,6.0,False,88.02,22.982062780269057,70.37037037037037,93.35243315063944,14.0
SHLD,True,True,True,True,True,True,True,8,88.0,True,6.0,False,88.0,22.869955156950677,70.37037037037037,93.24032552732103,14.0
PICK,True,True,True,True,True,True,True,8,87.89,True,6.0,False,87.89,22.08520179372197,70.37037037037037,92.45557216409232,14.0
CNRG,True,True,True,True,True,True,True,8,87.88,True,6.0,False,87.88,21.973094170403588,70.37037037037037,92.34346454077397,14.0
EET,True,True,True,True,True,True,True,8,87.87,True,6.0,False,87.87,21.8609865470852,70.37037037037037,92.23135691745556,14.0
MGNR,True,True,True,True,True,True,True,8,87.85,True,6.0,False,87.85,21.748878923766814,70.37037037037037,92.11924929413718,14.0
MAG,True,True,True,True,True,True,True,8,87.81,True,6.0,False,87.81,21.41255605381166,70.37037037037037,91.78292642418202,14.0
DXJS,True,True,True,True,True,True,True,8,87.78,True,6.0,False,87.78,21.18834080717489,70.37037037037037,91.55871117754526,14.0
OZEM,True,True,True,True,True,True,True,8,87.77,True,6.0,False,87.77,21.076233183856505,70.37037037037037,91.44660355422688,14.0
SIL,True,True,True,True,True,True,True,8,87.76,True,6.0,False,87.76,20.964125560538115,70.37037037037037,91.33449593090847,14.0
X,True,True,True,True,True,True,True,8,87.68,True,6.0,False,87.68,20.291479820627803,70.37037037037037,90.66185019099817,14.0
RETL,True,True,True,True,True,True,True,8,87.54,True,6.0,False,87.54,19.39461883408072,70.37037037037037,89.76498920445108,14.0
COLO,True,True,True,True,True,True,True,8,87.4,True,6.0,False,87.4,18.27354260089686,70.37037037037037,88.64391297126723,14.0
EZJ,True,True,True,True,True,True,True,8,87.38,True,6.0,False,87.38,18.04932735426009,70.37037037037037,88.41969772463045,14.0
NLR,True,True,True,True,True,True,True,8,87.32,True,6.0,False,87.32,17.60089686098655,70.37037037037037,87.97126723135692,14.0
CHN,True,True,True,True,True,True,True,8,87.31,True,6.0,False,87.31,17.48878923766816,70.37037037037037,87.85915960803852,14.0
AFK,True,True,True,True,True,True,True,8,87.3,True,6.0,False,87.3,17.376681614349778,70.37037037037037,87.74705198472014,14.0
BPMC,True,True,True,True,True,True,True,8,87.14,True,6.0,False,87.14,16.591928251121075,70.37037037037037,86.96229862149144,14.0
MISL,True,True,True,True,True,True,True,8,87.01,True,6.0,False,87.01,15.47085201793722,70.37037037037037,85.84122238830759,14.0
KSTR,True,True,True,True,True,True,True,8,86.9,True,6.0,False,86.9,14.68609865470852,70.37037037037037,85.05646902507888,14.0
GOOP,True,True,True,True,True,True,True,8,86.86,True,6.0,False,86.86,14.349775784753364,70.37037037037037,84.72014615512373,14.0
CANC,True,True,True,True,True,True,True,8,86.84,True,6.0,False,86.84,14.237668161434977,70.37037037037037,84.60803853180535,14.0
FTHF,True,True,True,True,True,True,True,8,86.66,True,6.0,False,86.66,13.004484304932737,70.37037037037037,83.3748546753031,14.0
AGMI,True,True,True,True,True,True,True,8,86.65,True,6.0,False,86.65,12.892376681614351,70.37037037037037,83.26274705198472,14.0
ERJ,True,True,True,True,True,True,True,8,86.55,True,6.0,False,86.55,12.10762331838565,70.37037037037037,82.47799368875602,14.0
ARKX,True,True,True,True,True,True,True,8,86.53,True,6.0,False,86.53,11.883408071748878,70.37037037037037,82.25377844211924,14.0
XBI,True,True,True,True,True,True,True,8,86.52,True,6.0,False,86.52,11.771300448430496,70.37037037037037,82.14167081880086,14.0
EZA,True,True,True,True,True,True,True,8,86.49,True,6.0,False,86.49,11.547085201793722,70.37037037037037,81.91745557216409,14.0
EMDM,True,True,True,True,True,True,True,8,86.48,True,6.0,False,86.48,11.434977578475335,70.37037037037037,81.80534794884571,14.0
VNM,True,True,True,True,True,True,True,8,86.43,True,6.0,False,86.43,11.09865470852018,70.37037037037037,81.46902507889055,14.0
DARP,True,True,True,True,True,True,True,8,86.4,True,6.0,False,86.4,10.874439461883409,70.37037037037037,81.24480983225378,14.0
SPTN,True,True,True,True,True,True,True,8,86.34,True,6.0,False,86.34,10.201793721973097,70.37037037037037,80.57216409234346,14.0
QCLN,True,True,True,True,True,True,True,8,86.26,True,6.0,False,86.26,9.52914798206278,70.37037037037037,79.89951835243315,14.0
XTL,True,True,True,True,True,True,True,8,86.24,True,6.0,False,86.24,9.304932735426007,70.37037037037037,79.67530310579637,14.0
OPPJ,True,True,True,True,True,True,True,8,86.17,True,6.0,False,86.17,8.856502242152468,70.37037037037037,79.22687261252284,14.0
SLX,True,True,True,True,True,True,True,8,86.11,True,6.0,False,86.11,8.408071748878925,70.37037037037037,78.77844211924929,14.0
IWML,True,True,True,True,True,True,True,8,86.02,True,6.0,False,86.02,7.847533632286996,70.37037037037037,78.21790400265736,14.0
CHAU,True,True,True,True,True,True,True,8,86.0,True,6.0,False,86.0,7.623318385650224,70.37037037037037,77.99368875602059,14.0
UWM,True,True,True,True,True,True,True,8,85.94,True,6.0,False,85.94,7.286995515695067,70.37037037037037,77.65736588606543,14.0
XSD,True,True,True,True,True,True,True,8,85.93,True,6.0,False,85.93,7.174887892376682,70.37037037037037,77.54525826274705,14.0
GLDM,True,True,True,True,True,True,True,8,85.9,True,6.0,False,85.9,6.838565022421525,70.37037037037037,77.20893539279189,14.0
ITA,True,True,True,True,True,True,True,8,85.87,True,6.0,False,85.87,6.726457399103139,70.37037037037037,77.0968277694735,14.0
BAR,True,True,True,True,True,True,True,8,85.86,True,6.0,False,85.86,6.614349775784753,70.37037037037037,76.98472014615513,14.0
FGDL,True,True,True,True,True,True,True,8,85.82,True,6.0,False,85.82,6.278026905829597,70.37037037037037,76.64839727619996,14.0
OUNZ,True,True,True,True,True,True,True,8,85.81,True,6.0,False,85.81,6.165919282511211,70.37037037037037,76.53628965288158,14.0
IAU,True,True,True,True,True,True,True,8,85.8,True,6.0,False,85.8,6.053811659192825,70.37037037037037,76.4241820295632,14.0
GDE,True,True,True,True,True,True,True,8,85.74,True,6.0,False,85.74,5.493273542600897,70.37037037037037,75.86364391297127,14.0
AIRR,True,True,True,True,True,True,True,8,85.72,True,6.0,False,85.72,5.269058295964125,70.37037037037037,75.6394286663345,14.0
GLD,True,True,True,True,True,True,True,8,85.68,True,6.0,False,85.68,5.044843049327354,70.37037037037037,75.41521341969772,14.0
FBL,True,True,True,True,True,True,True,8,85.61,True,6.0,False,85.61,4.596412556053812,70.37037037037037,74.96678292642417,14.0
TGI,True,True,True,True,True,True,True,8,85.55,True,6.0,False,85.55,4.260089686098654,70.37037037037037,74.63046005646902,14.0
XXCH,True,True,True,True,True,True,True,8,85.46,True,6.0,False,85.46,3.699551569506727,70.37037037037037,74.06992193987709,14.0
WNS,True,True,True,True,True,True,True,8,85.44,True,6.0,False,85.44,3.475336322869956,70.37037037037037,73.84570669324032,14.0
HECO,True,True,True,True,True,True,True,8,85.24,True,6.0,False,85.24,2.242152466367713,70.37037037037037,72.61252283673808,14.0
EIS,True,True,True,True,True,True,True,8,85.18,True,6.0,False,85.18,1.7937219730941705,70.37037037037037,72.16409234346453,14.0
DRIV,True,True,True,True,True,True,True,8,85.15,True,6.0,False,85.15,1.5695067264573992,70.37037037037037,71.93987709682777,14.0
UPGR,True,True,True,True,True,True,True,8,85.14,True,6.0,False,85.14,1.4573991031390134,70.37037037037037,71.82776947350938,14.0
EWO,True,True,True,True,True,True,True,8,85.12,True,6.0,False,85.12,1.2331838565022422,70.37037037037037,71.6035542268726,14.0
GCAD,True,True,True,True,True,True,True,8,85.11,True,6.0,False,85.11,1.1210762331838564,70.37037037037037,71.49144660355422,14.0
OIH,True,True,True,True,True,True,True,8,85.08,True,6.0,False,85.08,0.7847533632286996,70.37037037037037,71.15512373359907,14.0
EFO,True,True,True,True,True,True,True,8,85.0,True,6.0,False,85.0,0.1121076233183856,70.37037037037037,70.48247799368875,14.0
PLRZ,True,True,True,True,True,True,True,8,99.82,True,5.0,False,99.82,99.43946188340809,32.05128205128205,131.49074393469013,13.0
BE,True,True,True,True,True,True,True,8,98.72,True,5.0,False,98.72,95.73991031390136,32.05128205128205,127.7911923651834,13.0
NCEW,True,True,True,True,True,True,True,8,98.53,True,5.0,False,98.53,94.95515695067265,32.05128205128205,127.0064390019547,13.0
WDC,True,True,True,True,True,True,True,8,98.0,True,5.0,False,98.0,92.60089686098657,32.05128205128205,124.6521789122686,13.0
MTC,True,True,True,True,True,True,True,8,97.52,True,5.0,False,97.52,90.5829596412556,32.05128205128205,122.63424169253764,13.0
