symbol,sector,pe_ratio,market_cap,revenue_growth,industry,forward_pe,enterprise_value,earnings_growth,profit_margin,operating_margin,return_on_equity,return_on_assets,debt_to_equity,current_ratio,quick_ratio,dividend_yield,payout_ratio,beta,shares_outstanding,float_shares,short_ratio,book_value,price_to_book,price_to_sales,enterprise_to_revenue,enterprise_to_ebitda,last_updated,error
AADR,,14.30516,,,,,,,,,,,,,,0.75,,,,,,,,,,,2025-07-30T20:59:48.487020,
AAL,Industrials,13.595239,7535247360.0,0.004,Airlines,5.6534653,36163244032.0,-0.1,0.01045,0.08289,,0.027999999,,0.585,0.412,,0.0,1.359,659828992.0,653553849.0,1.12,-5.865,-1.9471442,0.13889857,0.667,7.08,2025-07-30T20:59:50.155587,
AAM,Financial Services,,459176512.0,,Shell Companies,,459118592.0,,0.0,0.0,,,,0.503,0.098,,,,35349000.0,29764681.0,0.02,7.917,1.318934,,,,2025-07-30T20:59:50.451640,
AAM.U,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-30T20:59:50.262948,HTTP Error 404: 
AAM.W,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-30T20:59:53.077718,HTTP Error 404: 
AAME,Financial Services,,45179796.0,0.067,Insurance - Life,,52265860.0,,-0.00767,0.03609,-0.0143099995,0.0026800002,41.934,1.777,1.241,0.9,0.1429,0.77,20397200.0,4033552.0,1.17,5.017,0.44149888,0.2361046,0.273,26.872,2025-07-30T20:59:53.449083,
AAMI,Financial Services,16.631798,1422863232.0,0.134,Asset Management,11.082704,1793962240.0,0.454,0.17411,0.26606,2.3062,0.14881,453.946,1.452,1.431,0.1,0.0167,1.369,35795300.0,24255594.0,2.52,0.591,67.25888,2.7373283,3.451,10.966,2025-07-30T20:59:53.745980,
AAOI,Technology,,1353513728.0,1.455,Communication Equipment,33.027397,1478331392.0,,-0.55983,-0.089499995,-0.68445,-0.073070005,61.583,1.879,1.164,,0.0,2.773,56139100.0,52479972.0,1.98,5.807,4.1518855,4.3866773,4.791,-40.15,2025-07-30T20:59:53.825464,
AAON,Industrials,42.518326,6607740416.0,0.168,Building Products & Equipment,27.716722,6644884992.0,-0.686,0.126,0.0399,0.19846001,0.11035,8.581,2.767,1.752,0.49,0.17799999,0.946,81366096.0,67211685.0,3.05,10.029,8.097517,5.241784,5.271,24.874,2025-07-30T20:59:54.023754,
AAP,Consumer Cyclical,,3400178688.0,-0.068,Auto Parts,21.092937,5805180416.0,-0.404,-0.0395,-0.00503,-0.24359,-0.00213,185.571,1.269,0.452,1.76,1.2658,1.072,59925600.0,59438442.0,3.05,36.617,1.5495535,0.38181403,0.652,22.405,2025-07-30T20:59:54.232909,
AAPB,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2025-07-30T20:59:55.025344,
AAPD,,,,,,,,,,,,,,,,3.12,,,,,,,,,,,2025-07-30T20:59:55.221651,
AAPG,Healthcare,,3725973248.0,0.979,Biotechnology,41.750004,12931753984.0,,-0.41342998,-3.61231,-2.35317,-0.09251001,608.581,1.264,1.171,,0.0,0.834,92963400.0,240529507.0,1.2,0.846,47.37589,3.7994936,13.187,-43.269,2025-07-30T20:59:55.408866,
AAPL,Technology,32.9081,3155486572544.0,0.051,Consumer Electronics,25.423586,3205179899904.0,0.078,0.24301,0.31028998,1.38015,0.23809999,146.994,0.821,0.68,0.49,0.1558,1.199,14935799808.0,14910285738.0,1.74,4.471,47.25341,7.8815045,8.006,23.081,2025-07-30T20:59:55.499521,
AAPR,,26.908253,,,,,,,,,,,,,,0.0,,,,,,,,,,,2025-07-30T20:59:55.715515,
AAPU,,33.592846,,,,,,,,,,,,,,25.23,,,,,,,,,,,2025-07-30T20:59:56.492174,
AAPW,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-30T20:59:56.691135,
AAPX,,33.566547,,,,,,,,,,,,,,0.0,,,,,,,,,,,2025-07-30T20:59:56.769991,
AAPY,,,,,,,,,,,,,,,,21.06,,,,,,,,,,,2025-07-30T20:59:56.970361,
AARD,Healthcare,,281512832.0,,Biotechnology,-4.9447618,131079040.0,,0.0,0.0,-0.34695,-0.15909,0.482,25.862,25.311,,0.0,,21688200.0,11177087.0,7.47,6.945,1.8689704,,,-4.22,2025-07-30T20:59:57.180582,
AAT,Real Estate,15.416666,1573386752.0,-0.019,REIT - Diversified,28.263887,2756168704.0,1.2,0.17743,0.25553,0.08866,0.02647,148.047,4.178,4.008,6.82,1.0189,1.17,61134700.0,52232902.0,2.02,19.233,1.0580773,3.4864902,6.107,11.064,2025-07-30T20:59:57.957193,
AAUC,Basic Materials,,1512618624.0,0.979,Gold,,1512631808.0,,-0.10516,0.27877,-0.19912,0.108909994,39.934,0.751,0.518,,0.0,,115379000.0,76878032.0,15.48,3.099,4.2303967,1.6774778,1.677,5.887,2025-07-30T20:59:58.161458,
AAVM,,15.577368,,,,,,,,,,,,,,2.37,,,,,,,,,,,2025-07-30T20:59:58.239469,
AAXJ,,15.275525,,,,,,,,,,,,,,1.98,,,,,,,,,,,2025-07-30T20:59:58.433438,
AB,Financial Services,12.5386915,4656924160.0,,Asset Management,11.670361,,-0.356,4.78131,1.0,0.18537001,,,,,8.02,0.9911,0.81,110537000.0,109645259.0,2.04,17.927,2.3500865,59.07553,,,2025-07-30T20:59:58.644870,
ABAT,Industrials,,217431168.0,,Waste Management,-16.785713,220160736.0,,0.0,-10.86258,-0.88488,-0.34948003,10.787,2.19,0.382,,0.0,1.233,92523904.0,88815568.0,2.88,0.742,3.167116,117.03206,118.501,-5.367,2025-07-30T20:59:59.430449,
ABBV,Healthcare,82.06867,337771003904.0,0.084,Drug Manufacturers - General,15.764221,402661572608.0,-0.063,0.073130004,0.30427998,0.884,0.08339,4789.603,0.76,0.485,3.43,2.688,0.481,1766400000.0,1762799565.0,2.23,0.804,237.83582,5.8878975,7.019,14.714,2025-07-30T20:59:59.626649,
ABCB,Financial Services,12.335097,4819628032.0,0.057,Banks - Regional,13.9045725,4126574848.0,0.213,0.35057,0.49258998,0.10458,0.01471,,,,1.14,0.13229999,0.939,68910896.0,64531981.0,4.26,57.241,1.2218515,4.3172975,3.696,,2025-07-30T20:59:59.742415,
ABCL,Healthcare,,1399894656.0,-0.575,Biotechnology,-7.1060605,862474048.0,,0.0,-14.79575,-0.15595001,-0.12936,6.632,10.146,8.863,,0.0,0.617,298484992.0,202402451.0,5.2,3.427,1.3685439,60.564793,37.314,-3.73,2025-07-30T20:59:59.955369,
ABCS,,15.416396,,,,,,,,,,,,,,1.46,,,,,,,,,,,2025-07-30T21:00:00.296884,
ABEO,Healthcare,,345307712.0,,Biotechnology,-4.5608106,285129984.0,,0.0,0.0,-2.7178202,-0.49951,57.921,4.9,4.77,,0.0,1.508,51156700.0,38285701.0,7.39,0.846,7.978723,,,-4.22,2025-07-30T21:00:00.985258,
ABEQ,,19.14816,,,,,,,,,,,,,,1.49,,,,,,,,,,,2025-07-30T21:00:01.184812,
ABEV,Consumer Defensive,14.625,36570923008.0,0.11,Beverages - Brewers,12.315789,20469893120.0,0.005,0.15742,0.25207,0.16239999,0.099980004,3.371,1.107,0.742,6.53,0.8745,0.324,15592200192.0,4267920581.0,1.42,6.041,0.3873531,0.3989247,0.223,0.75,2025-07-30T21:00:01.263105,
ABFL,,33.343864,,,,,,,,,,,,,,0.77,,,,,,,,,,,2025-07-30T21:00:01.456096,
ABG,Consumer Cyclical,8.064788,4331511808.0,0.03,Auto & Truck Dealerships,7.957024,,4.58,0.03128,0.05886,,,132.965,,,,0.0,,19659200.0,16160738.0,6.05,178.825,1.2320985,0.25091594,,,2025-07-30T21:00:01.666235,
ABHY,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-30T21:00:02.105136,
ABI,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-30T21:00:05.804521,
ABIG,,30.080072,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-30T21:00:05.928032,
ABL,Financial Services,,522614080.0,1.054,Insurance - Life,6.5925927,833777536.0,,-0.13354999,0.39404,-0.06072,0.02416,82.887,0.47,0.457,,0.0,0.0,97867800.0,31041717.0,4.13,4.495,1.1879867,3.8834136,6.196,23.942,2025-07-30T21:00:06.003163,
ABLD,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-30T21:00:06.105754,
ABLG,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-30T21:00:06.219278,
ABLLL,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-30T21:00:07.227637,
ABLLW,,,,,,,,,,,,,,,,,,,,,,4.495,0.2625139,,,,2025-07-30T21:00:07.339085,
ABLS,,22.07985,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-30T21:00:07.527683,
ABLV,Communication Services,,49389900.0,-0.017,Advertising Agencies,,50136688.0,,-0.057540003,-0.012209999,-0.8018,-0.10759,226.732,2.312,1.822,,0.0,1.484,24518500.0,14036616.0,3.88,0.144,6.9444447,0.38306746,0.389,-5.829,2025-07-30T21:00:07.626270,
ABLVW,Communication Services,,,-0.017,Advertising Agencies,,,,-0.057540003,-0.012209999,-0.8018,-0.10759,226.732,2.312,1.822,,,1.484,,14036616.0,,0.144,0.14097224,,,,2025-07-30T21:00:07.850840,
ABM,Industrials,37.6,2926126080.0,0.046,Specialty Business Services,12.84153,4536226816.0,-0.029,0.00927,0.03902,0.042969998,0.03813,91.471,1.55,1.38,2.26,0.78400004,0.784,62258000.0,61544545.0,3.48,29.308,1.6036577,0.34432304,0.534,10.86,2025-07-30T21:00:08.645595,
ABNB,Consumer Cyclical,34.730965,84459421696.0,0.061,Travel Services,30.408888,75247394816.0,-0.395,0.22596,0.01673,0.3206,0.06276,28.726,1.273,0.697,,0.0,1.135,431601984.0,415631069.0,4.77,12.822,10.672282,7.5195355,6.699,29.719,2025-07-30T21:00:08.866956,
ABNY,,,,,,,,,,,,,,,,54.8,,,,,,,,,,,2025-07-30T21:00:08.949374,
ABOS,Healthcare,,83591288.0,,Biotechnology,-0.9019608,-35776672.0,,0.0,0.0,-0.55682,-0.31312,19.149,8.022,7.758,,0.0,0.111,60573400.0,32929531.0,1.87,2.567,0.53759253,,,0.283,2025-07-30T21:00:09.151738,
ABOT,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-30T21:00:09.379952,
ABP,Healthcare,,19658612.0,,Biotechnology,,22194604.0,,0.0,-54.64481,,-2.1291099,,0.108,0.077,,0.0,-0.008,60787300.0,30186959.0,0.12,-0.36,-0.89833325,107.42411,121.282,-2.227,2025-07-30T21:00:10.174994,
ABPWW,Healthcare,,,,Biotechnology,,,,0.0,-54.64481,,-2.1291099,,0.108,0.077,,,-0.038,,30186959.0,,-0.36,-0.14194444,,,,2025-07-30T21:00:12.196420,
ABR,Real Estate,11.436893,2455588096.0,-0.092,REIT - Mortgage,7.6993465,12688547840.0,-0.479,0.38703,0.39224,0.07985,0.01785,318.894,2.54,2.465,10.19,1.6699001,1.308,192160000.0,184454607.0,21.98,12.353,0.95361453,4.0065527,20.703,,2025-07-30T21:00:12.285708,
ABR$D,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-30T21:00:12.380606,HTTP Error 404: 
ABR$E,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-30T21:00:12.494439,HTTP Error 404: 
ABR$F,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-30T21:00:15.359045,HTTP Error 404: 
ABSI,Healthcare,,425475520.0,0.313,Biotechnology,-4.1549296,251234096.0,,0.0,-23.51908,-0.48975,-0.27525,4.486,5.717,4.962,,0.0,2.027,144228992.0,110252099.0,7.33,1.559,1.8922386,88.36459,52.177,-2.546,2025-07-30T21:00:15.662893,
ABT,Healthcare,16.041353,222716903424.0,0.074,Medical Devices,24.80814,229415469056.0,0.37,0.32426998,0.19,,,27.087,,,1.84,0.2861,0.732,1739840000.0,1729728015.0,3.12,28.055,4.562823,5.166367,5.322,20.304,2025-07-30T21:00:15.794274,
ABTS,Financial Services,,10025692.0,0.817,Capital Markets,,8911809.0,,-0.13554,-0.32222,-0.083859995,-0.07052,,1.694,1.694,,0.0,3.18,2370140.0,1704912.0,1.43,4.378,0.9661947,1.4938692,1.328,6.909,2025-07-30T21:00:15.964433,
ABUS,Healthcare,,632039104.0,0.151,Biotechnology,-9.705882,524930528.0,,0.0,-7.38492,-0.79023004,-0.31583,7.072,6.011,5.871,,0.0,1.199,191527008.0,136355824.0,14.78,0.413,7.990315,98.70984,81.982,-7.932,2025-07-30T21:00:16.349257,
ABVC,Healthcare,,50605168.0,,Biotechnology,-6.7727275,53023072.0,,0.0,-5.03555,-0.42421,-0.10908,36.216,0.218,0.032,,0.0,0.368,16981600.0,13315856.0,0.77,0.369,8.075881,99.54123,104.297,-21.022,2025-07-30T21:00:16.668704,
ABVE,Consumer Defensive,,87537976.0,-0.45,Packaged Foods,,181966384.0,,-0.23358,-0.23252001,,,,0.232,0.071,,0.0,-0.294,51191800.0,17838939.0,0.1,-0.593,-2.8836427,0.29690027,0.617,-4.51,2025-07-30T21:00:17.075888,
ABVEW,Consumer Defensive,,,-0.45,Packaged Foods,,,,-0.23358,-0.23252001,,,,0.232,0.071,,,-0.294,,17838939.0,,-0.593,-0.28667793,,,,2025-07-30T21:00:17.289552,
ABVX,Healthcare,,5245560832.0,-0.174,Biotechnology,-23.112583,4429614592.0,,0.0,-48.65979,-1.9612199,-0.48599,,1.255,1.157,,0.0,1.534,75151296.0,34049526.0,3.64,-0.104,-671.1539,495.42508,418.362,-25.4,2025-07-30T21:00:17.380326,
ABXB,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-30T21:00:17.911523,
AC,Financial Services,20.699999,787590656.0,-0.293,Asset Management,14.3861,435458848.0,-0.438,3.10551,-2.4838,0.04196,-0.01263,,24.029,23.232,0.54,0.111099996,0.6,2187110.0,1149467.0,2.29,42.513,0.8764377,64.06822,35.423,-23.273,2025-07-30T21:00:18.196400,
ACA,Industrials,55.34591,4295816704.0,0.056,Engineering & Construction,19.909502,5876215808.0,-0.4,0.03,0.08307,0.03235,0.03402,71.228,1.983,1.168,0.23,0.1258,0.992,48816100.0,47902738.0,4.37,50.297,1.7496073,1.6501427,2.257,13.358,2025-07-30T21:00:18.493246,
ACAD,Healthcare,16.518248,3787401984.0,0.187,Biotechnology,27.59756,3161827584.0,0.1,0.22974001,0.07895,0.37238997,0.055570003,7.319,2.879,2.629,,0.0,0.642,167362000.0,114821945.0,5.33,4.579,4.9421268,3.8015323,3.174,31.1,2025-07-30T21:00:18.717330,
ACB,Healthcare,20.181818,250311664.0,0.343,Drug Manufacturers - Specialty & Generic,-40.363636,257207984.0,,0.00661,-0.32880002,0.02604,0.0062,17.184,4.315,1.632,,0.0,3.267,56246400.0,55998047.0,3.53,10.086,0.44021416,0.72914875,0.749,8.389,2025-07-30T21:00:18.801001,
ACCO,Industrials,,349584544.0,-0.116,Business Equipment & Supplies,3.3739133,1238284288.0,,-0.06678,-0.01544,-0.15902,0.03346,168.834,1.762,0.904,7.73,0.5172,1.313,90099104.0,86195063.0,3.99,6.727,0.57678014,0.21516867,0.762,6.583,2025-07-30T21:00:19.592307,
ACCS,Communication Services,,45788104.0,-0.017,Advertising Agencies,13.222222,45857140.0,,-0.22939,-0.09368,-0.40145,-0.01938,13.494,0.752,0.563,,0.0,0.862,3847740.0,2034610.0,0.17,8.029,1.4821272,1.9941685,1.997,47.57,2025-07-30T21:00:19.889413,
ACDC,Energy,,1307052416.0,0.032,Oil & Gas Equipment & Services,-34.0,2711155968.0,,-0.106079996,0.035150003,-0.18406999,0.00257,114.234,0.979,0.642,,0.0,1.689,160178000.0,18141809.0,4.76,6.168,1.3229572,0.5915067,1.227,6.054,2025-07-30T21:00:20.090023,
ACEL,Consumer Cyclical,26.489794,1098643968.0,0.073,Gambling,15.093022,1414523904.0,0.932,0.0339,0.07965,0.18257,0.064559996,223.527,2.42,2.215,,0.0,1.237,84641296.0,45700370.0,5.44,3.05,4.255738,0.87676394,1.129,8.398,2025-07-30T21:00:20.314302,
ACES,,28.620747,,,,,,,,,,,,,,0.93,,,,,,,,,,,2025-07-30T21:00:20.392741,
ACET,Healthcare,,58153120.0,,Biotechnology,-0.52864665,-76040864.0,,0.0,0.0,-0.55833,-0.32679,10.062,9.337,9.147,,0.0,1.597,82709600.0,61372196.0,8.91,1.952,0.36019468,,,0.633,2025-07-30T21:00:21.121103,
ACGL,Financial Services,8.905894,32273901568.0,0.186,Insurance - Diversified,9.526549,31932221440.0,-0.493,0.20724002,0.16049999,0.18415001,0.03801,12.662,0.581,0.288,,0.0,0.491,374755008.0,360349688.0,1.7,55.377,1.5551584,1.7760236,1.757,7.163,2025-07-30T21:00:21.334503,
ACGLN,Financial Services,3.6452782,,0.186,Insurance - Diversified,,6172164096.0,-0.493,0.20724002,0.16049999,0.18415001,0.03801,12.662,0.581,0.288,6.65,,0.491,,360349688.0,0.64,55.377,0.30879247,,0.34,1.385,2025-07-30T21:00:21.712822,
ACGLO,Financial Services,4.397783,12029125632.0,0.186,Insurance - Diversified,,7489652224.0,-0.493,0.20724002,0.16049999,0.18415001,0.03801,12.662,0.581,0.288,6.6,,0.491,402939008.0,360349688.0,3.4,55.377,0.3725373,0.66195935,0.412,1.68,2025-07-30T21:00:21.832359,
ACGR,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-30T21:00:21.920753,
ACHC,Healthcare,10.911765,2050640256.0,0.003,Medical Care Facilities,6.065395,4443312128.0,-0.892,0.059439998,0.10187,0.06335,0.05056,74.086,1.35,1.181,,0.0,0.934,92122200.0,90405006.0,5.39,33.65,0.6615156,0.6496734,1.408,7.029,2025-07-30T21:00:22.675922,
ACHR,Industrials,,5594421760.0,,Aerospace & Defense,-10.292929,4642322944.0,,0.0,0.0,-0.73887,-0.37054002,7.743,15.801,15.288,,0.0,3.102,549011008.0,451320031.0,2.18,1.842,5.53203,,,-9.322,2025-07-30T21:00:24.968227,
ACHR.W,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-30T21:00:25.175604,HTTP Error 404: 
ACHV,Healthcare,,126697000.0,,Biotechnology,-2.2173913,75161936.0,,0.0,0.0,-1.5454899,-0.59018004,96.897,3.506,3.26,,0.0,1.515,49685100.0,31008108.0,1.35,0.296,8.614864,,,-1.643,2025-07-30T21:00:25.491632,
ACI,Consumer Defensive,11.993902,11012170752.0,0.025,Grocery Stores,8.665198,25160179712.0,0.0,0.011779999,0.01814,0.31098,0.045489997,443.954,0.816,0.137,3.05,0.32930002,0.296,559846016.0,400021480.0,2.26,5.72,3.4388113,0.13594216,0.311,6.855,2025-07-30T21:00:25.584550,
ACIC,Financial Services,7.136054,507227168.0,-0.235,Insurance - Property & Casualty,6.9933333,444405536.0,,0.24306,-0.1003,0.31114,0.059320003,46.73,0.96,0.334,,0.0,-0.309,48353400.0,21567401.0,2.74,7.416,1.4145092,1.6781099,1.47,3.89,2025-07-30T21:00:25.983640,
ACIO,,27.09735,,,,,,,,,,,,,,0.43,,,,,,,,,,,2025-07-30T21:00:29.486130,
ACIU,Healthcare,,236409984.0,,Biotechnology,-9.4,95521632.0,,-1.8404499,-19.56566,-0.43497002,-0.17074,5.459,1.533,1.497,,0.0,1.617,100600000.0,39872326.0,11.35,0.944,2.4894066,8.354005,3.375,-1.902,2025-07-30T21:00:29.519349,
ACIW,Technology,17.249012,4577836032.0,0.249,Software - Infrastructure,21.497538,5235667456.0,,0.16125,0.14831,0.19691,0.07,59.888,1.502,0.766,,0.0,1.061,104900000.0,103781415.0,4.1,14.083,3.0987716,2.7365751,3.13,12.968,2025-07-30T21:00:29.598028,
ACLC,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-30T21:00:45.552729,
ACLO,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-30T21:00:29.818861,
ACLS,Technology,13.401098,2350915584.0,-0.237,Semiconductor Equipment & Materials,13.524954,1836238336.0,-0.439,0.18576999,0.15143,0.18452999,0.086610004,7.046,5.559,3.753,,0.0,1.567,32129500.0,31955075.0,10.89,31.972,2.288565,2.4538395,1.917,9.516,2025-07-30T21:00:30.648476,
ACLX,Healthcare,,3856917760.0,-0.793,Biotechnology,-31.106667,3366845184.0,,-2.1146002,-8.47558,-0.35561,-0.16691999,12.759,4.928,4.856,,0.0,0.277,55106700.0,32731177.0,11.66,7.571,9.244485,50.214397,43.834,-18.227,2025-07-30T21:00:30.835149,
ACM,Industrials,24.197002,14950012928.0,-0.044,Engineering & Construction,22.645292,16678806528.0,335.429,0.03846,0.06687,0.28333,0.053000003,128.041,1.152,1.022,0.92,0.2056,0.964,132301000.0,131640423.0,2.46,17.311,6.5276413,0.9316095,1.039,14.467,2025-07-30T21:00:30.917384,
ACMR,Technology,20.178343,2023227392.0,0.132,Semiconductor Equipment & Materials,16.246153,1973812480.0,0.163,0.13284001,0.14956,0.12682,0.05427,20.525,2.461,1.456,,0.0,1.494,58842700.0,52232223.0,4.12,14.864,2.131324,2.5218658,2.46,12.183,2025-07-30T21:00:31.027173,
ACN,Technology,22.17011,173713702912.0,0.077,Information Technology Services,19.822317,173236273152.0,0.147,0.11607,0.16825001,0.26928,0.112449996,25.881,1.461,1.318,2.12,0.45580003,1.293,622852992.0,621775162.0,2.74,49.065,5.6842966,2.5366132,2.53,14.721,2025-07-30T21:00:31.770184,
ACNB,Financial Services,14.886206,452339552.0,0.313,Banks - Regional,11.212987,652573696.0,-0.159,0.20459,0.45715,0.07356,0.00881,,,,3.15,0.4414,0.825,10478100.0,10092134.0,4.07,37.712,1.1447284,3.6759734,5.303,,2025-07-30T21:00:32.057089,
ACNT,Basic Materials,,123344576.0,-0.115,Steel,16.2125,148123728.0,,-0.05954,-0.03227,-0.08762,-0.0037,35.73,2.952,1.036,,0.0,0.607,9509990.0,6433831.0,2.35,9.054,1.4325161,0.7062305,0.848,22.883,2025-07-30T21:00:32.139789,
ACOG,Healthcare,,148183152.0,,Biotechnology,-9.635417,102655896.0,,0.0,-1.25875,-0.56795,-0.26725,,17.14,16.434,,0.0,2.72,16019800.0,9331045.0,1.61,2.548,3.6302981,50.5977,35.052,-9.275,2025-07-30T21:00:32.248071,
ACON,Healthcare,,4486470.0,0.878,Health Information Services,-14.266296,-10263802.0,,0.0,-78.55958,-0.72528,-0.35444,,21.683,21.128,,0.0,1.337,582371.0,582330.0,1.23,27.099,0.28428355,82.168274,-187.978,1.857,2025-07-30T21:00:33.090455,
ACONW,Healthcare,,,0.878,Health Information Services,,,,0.0,-78.55958,-0.72528,-0.35444,,21.683,21.128,,,1.207,,582330.0,,27.099,0.00088195136,,,,2025-07-30T21:00:35.387792,
ACP,Financial Services,17.5,746552448.0,1.013,Asset Management,,1045070208.0,,0.29084,0.83924,0.041690003,0.05572,33.075,0.098,0.098,15.63,3.1985002,0.855,125471000.0,,0.4,5.946,1.0006727,8.860752,12.404,,2025-07-30T21:00:35.560872,
ACP$A,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-30T21:00:35.475379,HTTP Error 404: 
ACR,Real Estate,66.71429,138123472.0,0.349,REIT - Mortgage,9.831579,1388199168.0,,0.2823,-0.01314,0.05215,0.01176,298.896,71.765,62.815,,0.0,1.695,7394190.0,6530503.0,3.44,62.885,0.29705018,1.6532823,16.616,,2025-07-30T21:00:36.677671,
ACR$C,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-30T21:00:36.490660,HTTP Error 404: 
ACR$D,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-30T21:00:36.590026,HTTP Error 404: 
ACRE,Real Estate,,252474800.0,-0.505,REIT - Mortgage,13.5,1071695296.0,,-0.1985,0.47447,-0.02331,-0.0073400005,174.273,8.365,8.343,13.07,22.666698,1.363,55005400.0,54122435.0,3.36,9.887,0.464246,3.7610393,15.965,,2025-07-30T21:00:37.049426,
ACRS,Healthcare,,167835552.0,-0.393,Biotechnology,-2.6724138,65005920.0,,0.0,-12.222679,-0.9103,-0.18198,1.724,5.057,4.907,,0.0,0.392,108281000.0,72600405.0,5.89,1.331,1.1645379,9.441163,3.657,-1.204,2025-07-30T21:00:37.438124,
ACRV,Healthcare,,41702684.0,,Biotechnology,-0.4925926,-104418368.0,,0.0,0.0,-0.62414,-0.39240003,2.191,11.168,11.043,,0.0,1.651,31355400.0,16673840.0,1.57,5.116,0.25996873,,,1.134,2025-07-30T21:00:37.743547,
ACSI,,23.710573,,,,,,,,,,,,,,0.67,,,,,,,,,,,2025-07-30T21:00:38.017207,
ACT,Financial Services,7.941441,5291326976.0,0.052,Insurance - Specialty,8.395238,5395770880.0,0.069,0.56933,0.72924006,0.14092,0.091129996,14.521,1.131,1.054,2.38,0.1667,0.539,150066000.0,29142870.0,6.11,33.956,1.0384026,4.3479376,4.434,,2025-07-30T21:00:38.101673,
