symbol,sector,pe_ratio,market_cap,revenue_growth,industry,forward_pe,enterprise_value,earnings_growth,profit_margin,operating_margin,return_on_equity,return_on_assets,debt_to_equity,current_ratio,quick_ratio,dividend_yield,payout_ratio,beta,shares_outstanding,float_shares,short_ratio,book_value,price_to_book,price_to_sales,enterprise_to_revenue,enterprise_to_ebitda,last_updated,error
AAPU,,39.949165,,,,,,,,,,,,,,24.89,,,,,,,,,,,2025-08-17T22:25:17.995829,
AAPW,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-17T22:25:18.057810,
AAPX,,39.748085,,,,,,,,,,,,,,0.0,,,,,,,,,,,2025-08-17T22:25:18.296537,
AAPY,,,,,,,,,,,,,,,,20.82,,,,,,,,,,,2025-08-17T22:25:18.358131,
AARD,Healthcare,,233798784.0,,Biotechnology,-3.7076526,92717504.0,,0.0,0.0,-0.33087003,-0.21763,0.471,14.042,13.756,,0.0,,21688200.0,11168259.0,14.58,6.311,1.7081287,,,-2.271,2025-08-17T22:25:18.439336,
AAT,Real Estate,16.107437,1507241472.0,-0.027,REIT - Diversified,27.069443,2700491008.0,-0.543,0.16423,0.24305001,0.08259,0.0255,150.453,3.676,3.507,6.98,1.1157,1.193,61152500.0,52250566.0,2.53,19.363,1.0065589,3.3620143,6.024,10.962,2025-08-17T22:25:19.370877,
AAUC,Basic Materials,,1410359168.0,0.288,Gold,,1395486976.0,,-0.13415,0.13357,-0.25718,0.09575,27.167,0.796,0.51,,0.0,,115414000.0,75134632.0,19.59,3.299,3.7041528,1.4720576,1.457,5.555,2025-08-17T22:25:19.692314,
AAVM,,15.551218,,,,,,,,,,,,,,2.41,,,,,,,,,,,2025-08-17T22:25:19.781140,
AAXJ,,15.87199,,,,,,,,,,,,,,1.95,,,,,,,,,,,2025-08-17T22:25:20.087026,
AB,Financial Services,12.041667,4472327168.0,,Asset Management,11.207756,,-0.356,4.78131,1.0,0.18537001,,,,,8.35,0.9911,0.809,110537000.0,109644154.0,1.79,17.927,2.2569308,56.73382,,,2025-08-17T22:25:19.881647,
ABAT,Industrials,,256291216.0,,Waste Management,-19.785713,258753040.0,,0.0,-10.86258,-0.88488,-0.34948003,10.787,2.19,0.382,,0.0,1.235,92523904.0,88815568.0,1.05,0.742,3.7331536,137.94843,139.274,-6.308,2025-08-17T22:25:20.894373,
ABBV,Healthcare,97.95735,365130285056.0,0.066,Drug Manufacturers - General,17.039572,429292912640.0,-0.324,0.06451,0.37522,1.1285399,0.088690005,,0.736,0.48,3.17,3.0381,0.503,1766560000.0,1762989805.0,2.68,-0.104,-1987.4038,6.2599487,7.36,15.291,2025-08-17T22:25:21.107264,
ABCB,Financial Services,12.340388,4799018496.0,0.057,Banks - Regional,13.910537,4121238272.0,0.213,0.35057,0.49258998,0.10458,0.01471,,,,1.14,0.13229999,0.969,68586800.0,64396436.0,3.87,57.241,1.2223755,4.2988358,3.692,,2025-08-17T22:25:21.306730,
ABCL,Healthcare,,1371643520.0,1.333,Biotechnology,-6.9545455,960645056.0,,0.0,-2.90242,-0.15642999,-0.10955,14.108,11.073,9.496,,0.0,0.649,298832992.0,202749166.0,5.88,3.405,1.3480177,41.72173,29.22,-4.399,2025-08-17T22:25:21.406126,
ABCS,,15.312254,,,,,,,,,,,,,,1.46,,,,,,,,,,,2025-08-17T22:25:21.608518,
ABEO,Healthcare,11.140625,364747264.0,,Biotechnology,-4.8175673,164173984.0,,143.105,-56.98,0.48343,-0.24503,14.719,6.729,6.581,,0.0,1.542,51156700.0,38144567.0,11.55,3.192,2.2337093,911.86816,410.435,-2.267,2025-08-17T22:25:22.173076,
ABEQ,,18.077856,,,,,,,,,,,,,,1.49,,,,,,,,,,,2025-08-17T22:25:22.599101,
ABEV,Consumer Defensive,12.882353,34744569856.0,0.002,Beverages - Brewers,11.526317,20519446528.0,0.144,0.16083999,0.22152,0.16048999,0.100039996,3.388,1.106,0.715,6.97,0.9868,0.345,15592299520.0,4252931142.0,2.35,5.931,0.36924633,0.3788124,0.224,0.751,2025-08-17T22:25:22.919123,
ABFL,,32.836594,,,,,,,,,,,,,,0.78,,,,,,,,,,,2025-08-17T22:25:23.029384,
ABG,Consumer Cyclical,8.801683,4729357312.0,0.03,Auto & Truck Dealerships,8.687252,9207666688.0,4.58,0.03128,0.05886,0.15195,0.061529998,120.545,1.302,0.229,,0.0,0.876,19660600.0,15117065.0,4.44,192.115,1.2521147,0.27396235,0.533,8.507,2025-08-17T22:25:23.140615,
ABHY,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-17T22:25:23.448945,
ABI,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-17T22:25:41.453799,
ABIG,,29.144384,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-17T22:25:27.043115,
ABL,Financial Services,,614855488.0,0.934,Insurance - Life,7.91358,912774656.0,17.002,-0.00717,0.40537,-0.00379,0.03674,85.977,0.756,0.717,,0.0,0.004,95921296.0,35388758.0,6.04,4.537,1.4128277,3.8018706,5.644,17.037,2025-08-17T22:25:27.129942,
ABLD,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-17T22:25:27.203444,
ABLG,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-17T22:25:27.379282,
ABLLL,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-17T22:25:28.177627,
ABLLW,,,,,,,,,,,,,,,,,,,,,,4.537,0.2846154,,,,2025-08-17T22:25:28.354913,
ABLS,,21.024597,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-17T22:25:28.440927,
ABLV,Communication Services,,45438708.0,-0.017,Advertising Agencies,,46185496.0,,-0.057540003,-0.012209999,-0.8018,-0.10759,226.732,2.312,1.822,,0.0,1.486,24518500.0,14036616.0,2.54,0.144,6.3888893,0.35242206,0.358,-5.37,2025-08-17T22:25:28.575484,
ABLVW,Communication Services,,,-0.017,Advertising Agencies,,,,-0.057540003,-0.012209999,-0.8018,-0.10759,226.732,2.312,1.822,,,1.486,,14036616.0,,0.144,0.17361112,,,,2025-08-17T22:25:29.788562,
ABM,Industrials,38.512,2997100032.0,0.046,Specialty Business Services,13.153005,4607201280.0,-0.029,0.00927,0.03902,0.042969998,0.03813,91.471,1.55,1.38,2.2,0.78400004,0.798,62258000.0,61544545.0,3.8,29.308,1.6425549,0.3526747,0.542,11.03,2025-08-17T22:25:29.966980,
ABNB,Consumer Cyclical,30.364079,76590727168.0,0.127,Travel Services,27.8,67516682240.0,0.016,0.22668,0.19767,0.33262002,0.061079998,29.324,1.232,0.613,,0.0,1.133,429080000.0,413430503.0,5.6,12.695,9.854274,6.6140523,5.83,25.44,2025-08-17T22:25:30.036173,
ABNY,,,,,,,,,,,,,,,,60.02,,,,,,,,,,,2025-08-17T22:25:30.144094,
ABOS,Healthcare,,86014224.0,,Biotechnology,-0.9281046,-27253736.0,,0.0,0.0,-0.7571,-0.39056998,25.71,5.969,5.789,,0.0,0.138,60573400.0,32929531.0,2.58,1.933,0.7346094,,,0.189,2025-08-17T22:25:31.028342,
ABOT,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-17T22:25:31.199118,
ABP,Healthcare,,16169422.0,,Biotechnology,,22084334.0,,0.0,-54.21311,,-1.8913001,,0.15,0.115,,0.0,0.028,60787300.0,39707352.0,0.25,-0.263,-1.0114068,88.3575,120.679,-2.233,2025-08-17T22:25:31.270112,
ABPWW,Healthcare,,,,Biotechnology,,,,0.0,-54.21311,,-1.8913001,,0.15,0.115,,,0.028,,39707352.0,,-0.263,-0.14524713,,,,2025-08-17T22:25:31.377606,
ABR,Real Estate,12.888889,2418310144.0,-0.093,REIT - Mortgage,7.5817,12915075072.0,-0.504,0.35592,0.25175,0.07279,0.01647,329.341,3.688,3.55,10.34,1.7667,1.297,192300992.0,184595896.0,19.63,12.174,0.9528504,4.0265775,21.504,,2025-08-17T22:25:32.557106,
ABR$D,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-17T22:25:32.439754,HTTP Error 404: 
ABR$E,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-17T22:25:32.343902,HTTP Error 404: 
ABR$F,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-17T22:25:35.341666,HTTP Error 404: 
ABSI,Healthcare,,438102432.0,-0.533,Biotechnology,-4.126761,263801344.0,,0.0,-52.939293,-0.57385,-0.31260002,4.275,4.387,3.772,,0.0,2.037,149523008.0,112251172.0,4.82,1.359,2.1559973,105.87299,63.751,-2.545,2025-08-17T22:25:35.989256,
ABT,Healthcare,16.53074,229305614336.0,0.074,Medical Devices,25.532946,235757469696.0,0.365,0.32426998,0.19726999,0.30931,0.06617,26.501,1.821,1.135,1.79,0.2861,0.705,1740460032.0,1730242520.0,2.44,29.053,4.534816,5.3192053,5.469,20.585,2025-08-17T22:25:36.188171,
ABTS,Financial Services,,9978289.0,0.089,Capital Markets,,12463192.0,,-0.1777,-0.15387,-0.11737,-0.07685,26.181,0.198,0.184,,0.0,3.21,2370140.0,1704912.0,1.53,4.228,0.9957426,1.4179434,1.771,8.952,2025-08-17T22:25:36.295276,
ABUS,Healthcare,,645067136.0,5.222,Biotechnology,-9.8970585,551977088.0,,0.0,0.17813998,-0.52818,-0.21008,6.025,20.533,19.756,,0.0,0.861,191699008.0,126049560.0,18.41,0.433,7.771363,41.844,35.805,-12.765,2025-08-17T22:25:36.378355,
ABVC,Healthcare,,56039280.0,,Biotechnology,-7.5,79475144.0,,0.0,-10.21073,-0.52673,-0.16174,22.926,0.424,0.069,,0.0,0.269,16981600.0,20048977.0,0.97,0.373,8.847185,143.23431,203.136,-20.051,2025-08-17T22:25:37.148244,
ABVE,Consumer Defensive,,93169080.0,-0.45,Packaged Foods,,185104976.0,,-0.23358,-0.23252001,,,,0.232,0.071,,0.0,-0.237,51191800.0,17838939.0,0.02,-0.593,-3.0691402,0.31599915,0.628,-4.588,2025-08-17T22:25:37.456152,
ABVEW,Consumer Defensive,,,-0.45,Packaged Foods,,,,-0.23358,-0.23252001,,,,0.232,0.071,,,-0.237,,17838939.0,,-0.593,-0.3133221,,,,2025-08-17T22:25:37.574375,
ABVX,Healthcare,,5323397632.0,-0.174,Biotechnology,-23.324505,4470202880.0,,0.0,-48.65979,-1.9612199,-0.48599,,1.255,1.157,,0.0,0.068,75573504.0,30314162.0,0.67,-0.104,-677.3077,502.77652,422.195,-25.633,2025-08-17T22:25:37.737021,
ABXB,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-17T22:25:38.159050,
AC,Financial Services,14.433071,773291392.0,-0.15,Asset Management,14.154441,386561088.0,5.302,4.5170097,-3.6144102,0.058769997,-0.015310001,,20.704,20.303,0.55,0.0787,0.573,2172490.0,1176390.0,1.6,43.299,0.8466708,64.95518,32.47,-16.796,2025-08-17T22:25:38.805913,
ACA,Industrials,51.673794,4739208704.0,0.109,Engineering & Construction,21.86199,6293109248.0,0.311,0.03446,0.12634,0.03745,0.0382,69.513,2.117,1.264,0.21,0.107,1.008,49044900.0,48143951.0,4.35,51.4,1.879961,1.7713357,2.352,12.981,2025-08-17T22:25:38.931034,
ACAD,Healthcare,19.045113,4273475072.0,0.093,Biotechnology,30.890244,3567778560.0,-0.206,0.21804,0.122370005,0.33181,0.052750003,6.845,2.911,2.672,,0.0,0.705,168712000.0,115844559.0,6.36,4.877,5.1937666,4.1942663,3.502,34.317,2025-08-17T22:25:39.002824,
ACB,Healthcare,,285763712.0,0.175,Drug Manufacturers - Specialty & Generic,-46.181816,285019040.0,,-0.050479997,-0.20629999,-0.0118700005,-0.0081,17.264,2.966,1.143,,0.0,3.385,56252700.0,56217970.0,3.53,9.811,0.51778615,0.7984881,0.796,24.032,2025-08-17T22:25:39.337188,
ACCO,Industrials,8.104167,350615424.0,-0.099,Business Equipment & Supplies,3.382609,1291115520.0,,0.02903,0.0884,0.07318,0.029949998,168.492,1.846,1.064,7.71,0.625,1.36,90132496.0,86228891.0,5.68,7.065,0.55060154,0.22174008,0.817,7.39,2025-08-17T22:25:40.012209,
ACCS,Communication Services,,42557128.0,-0.066,Advertising Agencies,13.75,42317088.0,,-0.25481,-0.031489998,-0.3877,-0.01637,12.614,0.795,0.645,,0.0,0.714,3868830.0,2055701.0,0.16,7.932,1.3867877,1.8862303,1.876,34.886,2025-08-17T22:25:40.120897,
ACDC,Energy,,633766208.0,-0.134,Oil & Gas Equipment & Services,-14.75,1911691904.0,,-0.12832,-0.08966,-0.23061001,-0.0128,120.544,0.907,0.592,,0.0,1.676,179030000.0,33118695.0,10.12,5.465,0.6477584,0.29723582,0.897,5.094,2025-08-17T22:25:40.302185,
ACEL,Consumer Cyclical,27.95,942404736.0,0.086,Gambling,13.0,1281273728.0,-0.529,0.027509999,0.08,0.14843,0.06382,227.751,2.645,2.388,,0.0,1.32,84293800.0,45387998.0,4.7,3.084,3.6251621,0.73650515,1.001,7.438,2025-08-17T22:25:40.440960,
ACES,,27.11967,,,,,,,,,,,,,,0.88,,,,,,,,,,,2025-08-17T22:25:41.346571,
ACET,Healthcare,,54531236.0,,Biotechnology,-0.49248117,-55073776.0,,0.0,0.0,-0.64392,-0.36523998,11.515,7.479,7.317,,0.0,1.607,83253800.0,61916668.0,10.09,1.602,0.4088639,,,0.46,2025-08-17T22:25:41.650736,
ACGL,Financial Services,9.381593,33858519040.0,0.233,Insurance - Diversified,10.0353985,33438875648.0,-0.021,0.19493,0.29829,0.17087,0.03793,11.84,0.584,0.291,,0.0,0.475,373220000.0,358641657.0,1.63,59.408,1.5270671,1.7675151,1.746,7.174,2025-08-17T22:25:41.743688,
ACGLN,Financial Services,3.7241526,,0.233,Insurance - Diversified,,6212454912.0,-0.021,0.19493,0.29829,0.17087,0.03793,11.84,0.584,0.291,6.51,,0.475,,358641657.0,0.53,59.408,0.29406813,,0.324,1.333,2025-08-17T22:25:41.818393,
ACGLO,Financial Services,4.4862504,12271108096.0,0.233,Insurance - Diversified,,7541253120.0,-0.021,0.19493,0.29829,0.17087,0.03793,11.84,0.584,0.291,6.47,,0.475,402939008.0,358641657.0,4.3,59.408,0.35424522,0.6405882,0.394,1.618,2025-08-17T22:25:42.733347,
ACGR,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-17T22:25:45.071563,
ACHC,Healthcare,13.802631,1937431680.0,0.092,Medical Care Facilities,5.716621,4360716288.0,-0.612,0.043119997,0.16371,0.048309997,0.04917,74.737,1.32,1.174,,0.0,0.883,92346600.0,90631716.0,6.05,34.051,0.61613464,0.59989667,1.35,6.764,2025-08-17T22:25:45.180581,
ACHR,Industrials,,6334154752.0,,Aerospace & Defense,-9.919191,4439188480.0,,0.0,0.0,-0.73887,-0.37054002,7.743,15.801,15.288,,0.0,3.087,645025984.0,461603008.0,2.06,1.842,5.3311615,,,-8.914,2025-08-17T22:25:45.361311,
ACHR.W,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-17T22:25:45.254032,HTTP Error 404: 
ACHV,Healthcare,,130317744.0,,Biotechnology,-2.2173913,84880672.0,,0.0,0.0,-1.20108,-0.50629,23.903,6.637,6.462,,0.0,1.309,51105000.0,42333311.0,2.15,0.839,3.0393326,,,-1.702,2025-08-17T22:25:46.017859,
ACI,Consumer Defensive,11.70122,10743445504.0,0.025,Grocery Stores,8.453745,24891453440.0,0.0,0.011779999,0.01814,0.31098,0.045489997,443.954,0.816,0.137,3.13,0.32930002,0.314,559846016.0,399999087.0,2.66,5.72,3.3548954,0.13262482,0.307,6.782,2025-08-17T22:25:46.096135,
ACIC,Financial Services,6.658537,532517088.0,-0.235,Insurance - Property & Casualty,7.28,462984704.0,,0.25261998,-0.1003,0.31544,0.05528,46.73,1.017,0.435,,0.0,-0.289,48765300.0,22171008.0,3.82,7.416,1.472492,1.6637416,1.447,3.693,2025-08-17T22:25:46.221849,
ACIO,,27.099915,,,,,,,,,,,,,,0.43,,,,,,,,,,,2025-08-17T22:25:50.444006,
ACIU,Healthcare,,214278016.0,0.901,Biotechnology,-8.52,92128824.0,,-1.7467301,-14.845329,-0.50979,-0.14643,6.581,1.332,1.306,,0.0,1.652,100600000.0,39960717.0,9.63,0.743,2.8667567,7.409849,3.186,-1.893,2025-08-17T22:25:50.543660,
ACIW,Technology,19.728815,4804619776.0,0.074,Software - Infrastructure,22.93596,5570711040.0,-0.597,0.14762999,0.099580005,0.1909,0.06729,68.589,1.478,0.759,,0.0,1.076,103192000.0,102072437.0,3.79,13.475,3.4552875,2.8252282,3.276,14.421,2025-08-17T22:25:50.670074,
ACLC,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-17T22:25:50.764959,
ACLO,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-17T22:25:50.883479,
ACLS,Technology,16.430613,2529535744.0,-0.242,Semiconductor Equipment & Materials,14.881701,2051631360.0,-0.368,0.17687,0.14889,0.16194001,0.07637,7.037,6.01,3.889,,0.0,1.574,31418900.0,31244171.0,12.17,32.541,2.4741096,2.8228621,2.29,12.085,2025-08-17T22:25:51.891488,
ACLX,Healthcare,,4108395520.0,-0.724,Biotechnology,-32.924446,3707806208.0,,0.0,-7.7741604,-0.42755002,-0.19801001,13.389,3.807,3.746,,0.0,0.281,55458900.0,36731547.0,14.96,7.084,10.457369,72.103676,65.073,-17.82,2025-08-17T22:25:52.092745,
ACM,Industrials,23.677227,15836568576.0,0.007,Engineering & Construction,23.961926,17425690624.0,-0.005,0.03819,0.069520004,0.28683,0.05272,118.077,1.167,1.031,0.87,0.1984,0.995,132446000.0,131786519.0,4.14,18.836,6.3479505,0.98518604,1.084,14.636,2025-08-17T22:25:52.290606,
ACMR,Technology,15.072289,1605808640.0,0.064,Semiconductor Equipment & Materials,12.83077,1604197760.0,0.238,0.13755,0.14716,0.12682,0.04911,24.115,2.452,1.448,,0.0,1.354,59159200.0,52548807.0,3.52,15.385,1.6262593,1.9699161,1.968,10.199,2025-08-17T22:25:52.177929,
ACN,Technology,19.650755,153850920960.0,0.077,Information Technology Services,17.555792,153373491200.0,0.147,0.11607,0.16825001,0.26928,0.112449996,25.881,1.461,1.318,2.4,0.45580003,1.29,622852992.0,621768933.0,3.49,49.065,5.0343423,2.2465715,2.24,13.033,2025-08-17T22:25:52.400609,
ACNB,Financial Services,16.157509,461725856.0,0.313,Banks - Regional,11.457143,660365632.0,-0.159,0.20459,0.45715,0.07356,0.00881,,,,3.08,0.47619998,0.909,10467600.0,10081677.0,6.19,37.712,1.1696541,3.7522519,5.367,,2025-08-17T22:25:53.345733,
ACNT,Basic Materials,,112041280.0,-0.131,Steel,14.95,73648304.0,,-0.01846,-0.0846,-0.112679996,-0.00698,24.618,6.644,5.567,,0.0,0.637,9368000.0,6442843.0,6.25,9.514,1.2570949,0.6491609,0.427,12.869,2025-08-17T22:25:53.783582,
ACOG,Healthcare,,128158400.0,,Biotechnology,-9.876543,89881152.0,,0.0,-3.46085,-1.3122799,-0.38268003,,14.689,13.607,,0.0,2.71,16019800.0,9528723.0,2.5,1.991,4.018081,27.943495,19.598,-6.245,2025-08-17T22:25:53.936524,
ACON,Healthcare,,4261558.0,0.761,Health Information Services,-13.55111,-8564099.0,,0.0,-89.88602,-0.8835,-0.44349,,23.813,22.761,,0.0,,582371.0,582330.0,1.25,24.366,0.30032012,67.69965,-136.05,1.399,2025-08-17T22:25:53.751024,
ACONW,Healthcare,,,0.761,Health Information Services,,,,0.0,-89.88602,-0.8835,-0.44349,,23.813,22.761,,,,,582330.0,,24.366,0.0017975869,,,,2025-08-17T22:25:53.858645,
ACP,Financial Services,17.470589,745297728.0,1.013,Asset Management,,1043815552.0,,0.29084,0.83924,0.041690003,0.05572,33.075,0.098,0.098,15.66,3.1985002,0.83,125471000.0,,0.79,5.946,0.9989909,8.84586,12.389,,2025-08-17T22:25:57.033751,
ACP$A,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-17T22:25:57.114602,HTTP Error 404: 
ACR,Real Estate,,148080624.0,0.156,REIT - Mortgage,10.494738,1463785728.0,,0.25030002,0.19256,0.047670003,0.010720001,311.177,60.21,51.227,,0.0,1.784,7426310.0,6808567.0,8.13,62.414,0.3194796,1.7099577,16.903,,2025-08-17T22:25:57.413613,
ACR$C,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-17T22:25:57.219857,HTTP Error 404: 
ACR$D,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-17T22:25:57.303967,HTTP Error 404: 
ACRE,Real Estate,,247524304.0,0.706,REIT - Mortgage,13.235294,1045081280.0,,-0.22603,0.6714,-0.032980002,-0.0104,169.603,7.9,7.875,13.33,22.666698,1.376,55005400.0,53995371.0,4.16,9.547,0.47135225,3.0682042,12.954,,2025-08-17T22:25:58.512069,
ACRS,Healthcare,,202580848.0,-0.358,Biotechnology,-3.224138,105141248.0,,0.0,-9.514911,-1.01409,-0.20856,1.796,3.882,3.726,,0.0,0.31,108332000.0,72651919.0,5.12,1.216,1.537829,12.066284,6.263,-1.805,2025-08-17T22:25:58.731600,
ACRV,Healthcare,,42329792.0,,Biotechnology,-0.5,-91694880.0,,0.0,0.0,-0.47875,-0.30323,2.281,10.305,10.232,,0.0,1.666,31355400.0,16724652.0,2.29,4.548,0.29683378,,,0.984,2025-08-17T22:25:58.825863,
ACSI,,22.311756,,,,,,,,,,,,,,0.66,,,,,,,,,,,2025-08-17T22:25:58.922199,
ACT,Financial Services,8.489796,5522624512.0,0.02,Insurance - Specialty,8.914286,5650395136.0,-0.043,0.55354,0.74379,0.13474,0.08708,14.24,1.092,1.011,2.24,0.1735,0.529,147506000.0,27303288.0,9.67,35.2,1.0636363,4.515527,4.62,,2025-08-17T22:25:59.034340,
