symbol,added_date,added_timestamp,company_name,skew_index,expected_return,confidence_score,base_confidence,data_source,data_quality_grade,confidence_numeric,quality_description
ANET,2025-07-28 00:00:00+00:00,1753649269.401527,Arista Networks Inc,-1.80662255859374,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
DGX,2025-07-28 00:00:00+00:00,1753649269.401534,Quest Diagnostics Incorporated,-1.7944156494140606,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
GEN,2025-07-28 00:00:00+00:00,1753649269.401543,Gen Digital Inc.,-0.3906210937499987,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
PAYC,2025-07-28 00:00:00+00:00,1753649269.40155,"Paycom Software, Inc.",-2.13620910644532,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
ADI,2025-07-28 00:00:00+00:00,1753649269.401573,"Analog Devices, Inc.",-2.551244018554688,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
MCHP,2025-07-28 00:00:00+00:00,1753649269.401582,Microchip Technology Incorporated,-0.92772509765624,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
APTV,2025-07-28 00:00:00+00:00,1753649269.40159,Aptiv PLC,-0.6103454589843627,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
CDNS,2025-07-28 00:00:00+00:00,1753649269.401596,"Cadence Design Systems, Inc.",-2.5512440185546934,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
UBER,2025-07-28 00:00:00+00:00,1753649269.401603,"Uber Technologies, Inc.",-2.612278564453108,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
SMCI,2025-07-28 00:00:00+00:00,1753649269.401609,"Super Micro Computer, Inc.",-2.832002929687505,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
MOS,2025-07-28 00:00:00+00:00,1753649269.401616,The Mosaic Company,-2.539037109374997,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
SYY,2025-07-28 00:00:00+00:00,1753649269.401622,Sysco Corporation,-15.40511938476563,0.15,높음,매우 높음,yfinance,B,90.0,양호한 품질 무료 데이터
GEV,2025-07-28 00:00:00+00:00,1753649269.401629,GE Vernova Inc.,-3.411831115722652,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
CMI,2025-07-28 00:00:00+00:00,1753649269.401637,Cummins Inc.,-0.6713800048828156,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
FSLR,2025-07-28 00:00:00+00:00,1753649269.401644,"First Solar, Inc.",-2.746554565429715,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
BA,2025-07-28 00:00:00+00:00,1753649269.401652,The Boeing Company,-0.2685520019531207,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
LRCX,2025-07-28 00:00:00+00:00,1753649269.40166,Lam Research Corporation,-0.7080007324218707,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
AMD,2025-07-28 00:00:00+00:00,1753649269.401667,"Advanced Micro Devices, Inc.",-1.7089672851562376,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
LDOS,2025-07-28 00:00:00+00:00,1753649269.401675,"Leidos Holdings, Inc.",-1.4037945556640674,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
BEN,2025-07-28 00:00:00+00:00,1753649269.401684,"Franklin Resources, Inc.",-0.0488276367187456,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
COIN,2025-07-28 00:00:00+00:00,1753649269.401692,"Coinbase Global, Inc.",-1.6540361938476522,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
PEG,2025-07-28 00:00:00+00:00,1753649269.401699,Public Service Enterprise Group Incorporated,-1.562484374999995,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
BG,2025-07-28 00:00:00+00:00,1753649269.401708,Bunge Global SA,-0.0488276367187512,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
HWM,2025-07-28 00:00:00+00:00,1753649269.401716,Howmet Aerospace Inc.,-0.3662072753906065,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
MPWR,2025-07-28 00:00:00+00:00,1753649269.401724,"Monolithic Power Systems, Inc.",-1.4068462829589623,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
EVRG,2025-07-28 00:00:00+00:00,1753649269.40173,"Evergy, Inc.",-20.53202124023437,0.15,낮음,매우 높음,yfinance_fallback,C,70.0,품질 부족하지만 사용 가능한 데이터
PODD,2025-07-28 00:00:00+00:00,1753649269.401737,Insulet Corporation,-1.9042778320312648,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
ALLE,2025-07-28 00:00:00+00:00,1753649269.401745,Allegion plc,-0.9399320068359418,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
DXCM,2025-07-28 00:00:00+00:00,1753649269.401753,"DexCom, Inc.",-0.7812421874999975,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
RF,2025-07-28 00:00:00+00:00,1753649269.401761,Regions Financial Corporation,-0.7324145507812518,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
FTNT,2025-07-28 00:00:00+00:00,1753649269.40177,"Fortinet, Inc.",-0.02441381835937,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
JBL,2025-07-28 00:00:00+00:00,1753649269.401777,Jabil Inc.,-4.119831848144534,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
VST,2025-07-28 00:00:00+00:00,1753649269.401784,Vistra Corp.,-2.551244018554688,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
VMC,2025-07-28 00:00:00+00:00,1753649269.401791,Vulcan Materials Company,-1.0620010986328143,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
MGM,2025-07-28 00:00:00+00:00,1753649269.4018,MGM Resorts International,-0.3906210937499876,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
AXON,2025-07-28 00:00:00+00:00,1753649269.401808,"Axon Enterprise, Inc.",-1.4739842834472603,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
KLAC,2025-07-28 00:00:00+00:00,1753649269.401815,KLA Corporation,-2.066019378662109,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
FCX,2025-07-28 00:00:00+00:00,1753649269.401823,Freeport-McMoRan Inc.,-0.6347592773437438,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
EL,2025-07-28 00:00:00+00:00,1753649269.40183,The Estée Lauder Companies Inc.,-1.34276000976562,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
BSX,2025-07-28 00:00:00+00:00,1753649269.401837,Boston Scientific Corporation,-7.519456054687495,0.15,높음,매우 높음,yfinance,B,90.0,양호한 품질 무료 데이터
TTWO,2025-07-28 00:00:00+00:00,1753649269.401844,"Take-Two Interactive Software, Inc.",-0.866690551757815,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
WDC,2025-07-28 00:00:00+00:00,1753649269.40185,Western Digital Corporation,-15.576016113281243,0.15,높음,매우 높음,yfinance,B,90.0,양호한 품질 무료 데이터
DDOG,2025-07-28 00:00:00+00:00,1753649269.401858,"Datadog, Inc.",-1.6357258300781163,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
INTC,2025-07-28 00:00:00+00:00,1753649269.401865,Intel Corporation,-1.4648291015624926,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
NEM,2025-07-28 00:00:00+00:00,1753649269.401873,Newmont Corporation,-0.7812421874999975,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
CAT,2025-07-28 00:00:00+00:00,1753649269.401881,Caterpillar Inc.,-1.2390012817382725,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
SNPS,2025-07-28 00:00:00+00:00,1753649269.401888,"Synopsys, Inc.",-1.1535529174804715,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
CCI,2025-07-28 00:00:00+00:00,1753649269.401896,Crown Castle Inc.,-1.4892429199218682,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
HUBB,2025-07-28 00:00:00+00:00,1753649269.401904,Hubbell Incorporated,-0.5737247314453131,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
ALL,2025-07-28 00:00:00+00:00,1753649269.401912,The Allstate Corporation,-0.5371040039062525,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
EXPD,2025-07-28 00:00:00+00:00,1753649269.401921,"Expeditors International of Washington, Inc.",-0.1708967285156237,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
ADM,2025-07-28 00:00:00+00:00,1753649269.40193,Archer-Daniels-Midland Company,-0.0976552734374969,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
EMR,2025-07-30 00:00:00+00:00,1753886746.609763,Emerson Electric Co.,-4.479935668945317,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
NUE,2025-07-30 00:00:00+00:00,1753886746.609782,Nucor Corporation,-2.941865112304681,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
MPC,2025-07-30 00:00:00+00:00,1753886746.609792,Marathon Petroleum Corporation,-5.200143310546873,0.15,높음,매우 높음,yfinance,B,90.0,양호한 품질 무료 데이터
MNST,2025-07-30 00:00:00+00:00,1753886746.609802,Monster Beverage Corporation,-1.5868981933593818,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
AMAT,2025-07-30 00:00:00+00:00,1753886746.609814,"Applied Materials, Inc.",-0.0488276367187456,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
J,2025-07-30 00:00:00+00:00,1753886746.60982,Jacobs Solutions Inc.,-15.84456811523437,0.15,높음,매우 높음,yfinance,B,90.0,양호한 품질 무료 데이터
WMB,2025-07-30 00:00:00+00:00,1753886746.609828,"The Williams Companies, Inc.",-4.052693847656258,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
AIG,2025-07-30 00:00:00+00:00,1753886746.609835,"American International Group, Inc.",-9.49697534179688,0.15,높음,매우 높음,yfinance,B,90.0,양호한 품질 무료 데이터
NXPI,2025-07-30 00:00:00+00:00,1753886746.609842,NXP Semiconductors N.V.,-2.416968017578125,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
HSY,2025-07-30 00:00:00+00:00,1753886746.609849,The Hershey Company,-17.504707763671874,0.15,높음,매우 높음,yfinance,B,90.0,양호한 품질 무료 데이터
EIX,2025-07-30 00:00:00+00:00,1753886746.609856,Edison International,-3.320279296875006,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
DG,2025-07-30 00:00:00+00:00,1753886746.609865,Dollar General Corporation,-1.5868981933593709,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
APH,2025-07-30 00:00:00+00:00,1753886746.609872,Amphenol Corporation,-3.4789691162109397,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
KVUE,2025-07-30 00:00:00+00:00,1753886746.60988,Kenvue Inc.,-1.1718632812500074,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
DLTR,2025-07-30 00:00:00+00:00,1753886746.609889,"Dollar Tree, Inc.",-0.4638625488281367,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
SBAC,2025-07-30 00:00:00+00:00,1753886746.609896,SBA Communications Corporation,-19.82402050781249,0.15,낮음,매우 높음,yfinance_fallback,C,70.0,품질 부족하지만 사용 가능한 데이터
DELL,2025-07-30 00:00:00+00:00,1753886746.609905,Dell Technologies Inc.,-0.4150349121093744,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
MO,2025-07-30 00:00:00+00:00,1753886746.609911,"Altria Group, Inc.",-11.962770996093749,0.15,높음,매우 높음,yfinance,B,90.0,양호한 품질 무료 데이터
CVX,2025-07-30 00:00:00+00:00,1753886746.609919,Chevron Corporation,-3.417934570312497,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
EA,2025-07-30 00:00:00+00:00,1753886746.609926,Electronic Arts Inc.,-4.809522216796874,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
STX,2025-07-30 00:00:00+00:00,1753886746.609932,Seagate Technology Holdings plc,-6.005799316406257,0.15,높음,매우 높음,yfinance,B,90.0,양호한 품질 무료 데이터
MU,2025-07-30 00:00:00+00:00,1753886746.60994,"Micron Technology, Inc.",-2.7343476562500024,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
MDLZ,2025-07-30 00:00:00+00:00,1753886746.609947,"Mondelez International, Inc.",-3.07614111328125,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
CRL,2025-07-30 00:00:00+00:00,1753886746.609956,"Charles River Laboratories International, Inc.",-0.415034912109391,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
CMCSA,2025-07-30 00:00:00+00:00,1753886746.609964,Comcast Corporation,-0.2929658203124963,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
PTC,2025-07-30 00:00:00+00:00,1753886746.609972,PTC Inc.,-1.94089855957032,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
FOXA,2025-07-30 00:00:00+00:00,1753886746.60998,Fox Corporation,-2.6366923828125053,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
GM,2025-07-30 00:00:00+00:00,1753886746.609989,General Motors Company,-0.244138183593745,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
WBA,2025-07-30 00:00:00+00:00,1753886746.609995,"Walgreens Boots Alliance, Inc.",-30.663755859375,0.15,높음,매우 높음,yfinance,B,90.0,양호한 품질 무료 데이터
CTVA,2025-07-30 00:00:00+00:00,1753886746.610002,"Corteva, Inc.",-4.687453124999985,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
DHI,2025-07-30 00:00:00+00:00,1753886746.610008,"D.R. Horton, Inc.",-4.467728759765627,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
VRSN,2025-07-30 00:00:00+00:00,1753886746.610015,"VeriSign, Inc.",-3.4179345703125086,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
ON,2025-07-30 00:00:00+00:00,1753886746.610022,ON Semiconductor Corporation,-4.101521484374981,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
PHM,2025-08-02,1754071826.711807,"PulteGroup, Inc.",-0.3417934570312475,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
DASH,2025-08-02,1754071826.711824,"DoorDash, Inc.",-1.9286916503906237,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
NEE,2025-08-02,1754071826.711836,"NextEra Energy, Inc.",-0.5859316406250037,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
EXPE,2025-08-02,1754071826.711846,"Expedia Group, Inc.",-0.5493109130859319,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
CMS,2025-08-02,1754071826.711852,CMS Energy Corporation,-8.447181152343752,0.15,낮음,매우 높음,yfinance_fallback,C,70.0,품질 부족하지만 사용 가능한 데이터
ULTA,2025-08-02,1754071826.711861,"Ulta Beauty, Inc.",-4.455521850585942,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
SO,2025-08-02,1754071826.71187,The Southern Company,-0.3173796386718719,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
GL,2025-08-02,1754071826.711879,Globe Life Inc.,-0.7690352783203069,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
TEL,2025-08-02,1754071826.711887,TE Connectivity plc,-0.9521389160156324,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
NRG,2025-08-02,1754071826.711895,"NRG Energy, Inc.",-2.2460712890625123,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
FFIV,2025-08-02,1754071826.711903,"F5, Inc.",-1.5136567382812438,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
WYNN,2025-08-02,1754071826.71191,"Wynn Resorts, Limited",-6.176696044921876,0.15,높음,매우 높음,yfinance,B,90.0,양호한 품질 무료 데이터
NVDA,2025-08-02,1754071826.711918,NVIDIA Corporation,-1.2451047363281231,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
GNRC,2025-08-02,1754071826.711926,Generac Holdings Inc.,-0.7446214599609313,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
JCI,2025-08-02,1754071826.711935,Johnson Controls International plc,-1.2206909179687475,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
TPR,2025-08-02,1754071826.711941,"Tapestry, Inc.",-5.444281494140634,0.15,높음,매우 높음,yfinance,B,90.0,양호한 품질 무료 데이터
AES,2025-08-02,1754071826.711947,The AES Corporation,-9.960837890625008,0.15,높음,매우 높음,yfinance,B,90.0,양호한 품질 무료 데이터
CRWD,2025-08-02,1754071826.711955,"CrowdStrike Holdings, Inc.",-1.843243286132823,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
CBOE,2025-08-02,1754071826.711962,"Cboe Global Markets, Inc.",-4.009969665527343,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
RCL,2025-08-02,1754071826.71197,Royal Caribbean Cruises Ltd.,-1.5197601928711002,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
IDXX,2025-08-02,1754071826.711978,"IDEXX Laboratories, Inc.",-1.0955700988769634,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
TSCO,2025-08-02,1754071826.711986,Tractor Supply Company,-1.0742080078124938,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
MCK,2025-08-02,1754071826.711995,McKesson Corporation,-0.9735010070800798,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
NTRS,2025-08-02,1754071826.712002,Northern Trust Corporation,-3.6132451171875077,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
TKO,2025-08-02,1754071826.712009,"TKO Group Holdings, Inc.",-2.026346923828121,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
DLR,2025-08-02,1754071826.712018,"Digital Realty Trust, Inc.",-0.4638625488281256,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
KMB,2025-08-02,1754071826.712027,Kimberly-Clark Corporation,-0.7080007324218762,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
GE,2025-08-02,1754071826.712037,GE Aerospace,-0.3723107299804629,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
CCL,2025-08-02,1754071826.712045,Carnival Corporation & plc,-0.6835869140625062,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
CAH,2025-08-02,1754071826.712053,"Cardinal Health, Inc.",-1.6723465576171936,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
CBRE,2025-08-02,1754071826.71206,"CBRE Group, Inc.",-2.0141400146484303,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
TT,2025-08-02,1754071826.712068,Trane Technologies plc,-1.2390012817382778,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
